,,decision_accuracy,decision_accuracy,decision_accuracy,perceived_workload,perceived_workload,deferral_rate,deferral_rate,response_time_ms,response_time_ms,subject_id
,,mean,std,sem,mean,std,mean,std,mean,std,count
strategy,budget_level,,,,,,,,,,
Bayesian Optimal,0.1,0.8493,0.0333,0.0079,44.25,8.5344,0.0682,0.0423,2001.7778,287.7817,18
Bayesian Optimal,0.25,0.8291,0.0426,0.01,40.1167,7.2421,0.2661,0.0461,1916.5556,310.7562,18
Bayesian Optimal,0.5,0.8505,0.0288,0.007,42.2176,7.9202,0.5136,0.0487,1809.7647,202.373,17
Bayesian Optimal,1.0,0.8869,0.0478,0.0116,30.9,7.5445,0.9772,0.0289,1593.7059,346.769,17
Never Defer,0.1,0.717,0.0366,0.0086,65.4,7.9184,0.0,0.0,1739.7778,273.9162,18
Never Defer,0.25,0.7295,0.0522,0.0123,66.2556,6.8312,0.0,0.0,1791.7222,276.8682,18
Never Defer,0.5,0.7144,0.0474,0.0115,64.8588,7.3682,0.0,0.0,1661.4118,203.6231,17
Never Defer,1.0,0.7498,0.0513,0.0124,64.3706,6.0721,0.0,0.0,1463.0588,268.0442,17
Threshold-Based,0.1,0.8029,0.0653,0.0154,55.0722,6.6992,0.0892,0.0409,1933.7778,266.734,18
Threshold-Based,0.25,0.7804,0.0498,0.0117,46.5556,7.5429,0.1993,0.0477,1863.3333,247.533,18
Threshold-Based,0.5,0.8443,0.0542,0.0132,44.2647,8.2203,0.4023,0.0595,1818.9412,346.1801,17
Threshold-Based,1.0,0.8842,0.0463,0.0112,34.1588,6.8735,0.8079,0.0486,1477.5882,310.9451,17
Utility-Based,0.1,0.7925,0.0537,0.0127,50.4722,8.9018,0.0849,0.0493,1873.2778,257.7032,18
Utility-Based,0.25,0.8259,0.0619,0.0146,48.7833,8.0309,0.2166,0.0472,1894.4444,287.2716,18
Utility-Based,0.5,0.8647,0.058,0.0141,37.5471,6.7173,0.4464,0.0436,1890.1176,363.6901,17
Utility-Based,1.0,0.8988,0.0499,0.0121,30.6176,8.5957,0.8824,0.0564,1497.4118,287.032,17
